date,hour,depth,value,variable,siteID
2021-01-02,21,0.8,NA,temperature,SUGG
2021-01-02,21,1.05,NA,temperature,SUGG
2021-01-02,22,0.05,NA,temperature,SUGG
2021-01-02,22,0.3,NA,temperature,SUGG
2021-01-02,22,0.55,NA,temperature,SUGG
2021-01-02,22,0.8,NA,temperature,SUGG
2021-01-02,22,1.05,NA,temperature,SUGG
2021-01-02,22,0.05,NA,temperature,SUGG
2021-01-02,22,0.3,NA,temperature,SUGG
2021-01-02,22,0.55,NA,temperature,SUGG
2021-01-02,22,0.8,NA,temperature,SUGG
2021-01-02,22,1.05,NA,temperature,SUGG
2021-01-02,23,0.05,NA,temperature,SUGG
2021-01-02,23,0.3,NA,temperature,SUGG
2021-01-02,23,0.55,NA,temperature,SUGG
2021-01-02,23,0.8,NA,temperature,SUGG
2021-01-02,23,1.05,NA,temperature,SUGG
2021-01-02,23,0.05,NA,temperature,SUGG
2021-01-02,23,0.3,NA,temperature,SUGG
2021-01-02,23,0.55,NA,temperature,SUGG
2021-01-02,23,0.8,NA,temperature,SUGG
2021-01-02,23,1.05,NA,temperature,SUGG
2021-01-03,0,0.05,NA,temperature,SUGG
2021-01-03,0,0.3,NA,temperature,SUGG
2021-01-03,0,0.55,NA,temperature,SUGG
2021-01-03,0,0.8,NA,temperature,SUGG
2021-01-03,0,1.05,NA,temperature,SUGG
2021-01-03,0,0.05,NA,temperature,SUGG
2021-01-03,0,0.3,NA,temperature,SUGG
2021-01-03,0,0.55,NA,temperature,SUGG
2021-01-03,0,0.8,NA,temperature,SUGG
2021-01-03,0,1.05,NA,temperature,SUGG
2021-01-03,1,0.05,NA,temperature,SUGG
2021-01-03,1,0.3,NA,temperature,SUGG
2021-01-03,1,0.55,NA,temperature,SUGG
2021-01-03,1,0.8,NA,temperature,SUGG
2021-01-03,1,1.05,NA,temperature,SUGG
2021-01-03,1,0.05,NA,temperature,SUGG
2021-01-03,1,0.3,NA,temperature,SUGG
2021-01-03,1,0.55,NA,temperature,SUGG
2021-01-03,1,0.8,NA,temperature,SUGG
2021-01-03,1,1.05,NA,temperature,SUGG
2021-01-03,2,0.05,NA,temperature,SUGG
2021-01-03,2,0.3,NA,temperature,SUGG
2021-01-03,2,0.55,NA,temperature,SUGG
2021-01-03,2,0.8,NA,temperature,SUGG
2021-01-03,2,1.05,NA,temperature,SUGG
2021-01-03,2,0.05,NA,temperature,SUGG
2021-01-03,2,0.3,NA,temperature,SUGG
2021-01-03,2,0.55,NA,temperature,SUGG
2021-01-03,2,0.8,NA,temperature,SUGG
2021-01-03,2,1.05,NA,temperature,SUGG
2021-01-03,3,0.05,NA,temperature,SUGG
2021-01-03,3,0.3,NA,temperature,SUGG
2021-01-03,3,0.55,NA,temperature,SUGG
2021-01-03,3,0.8,NA,temperature,SUGG
2021-01-03,3,1.05,NA,temperature,SUGG
2021-01-03,3,0.05,NA,temperature,SUGG
2021-01-03,3,0.3,NA,temperature,SUGG
2021-01-03,3,0.55,NA,temperature,SUGG
2021-01-03,3,0.8,NA,temperature,SUGG
2021-01-03,3,1.05,NA,temperature,SUGG
2021-01-03,4,0.05,NA,temperature,SUGG
2021-01-03,4,0.3,NA,temperature,SUGG
2021-01-03,4,0.55,NA,temperature,SUGG
2021-01-03,4,0.8,NA,temperature,SUGG
2021-01-03,4,1.05,NA,temperature,SUGG
2021-01-03,4,0.05,NA,temperature,SUGG
2021-01-03,4,0.3,NA,temperature,SUGG
2021-01-03,4,0.55,NA,temperature,SUGG
2021-01-03,4,0.8,NA,temperature,SUGG
2021-01-03,4,1.05,NA,temperature,SUGG
2021-01-03,5,0.05,NA,temperature,SUGG
2021-01-03,5,0.3,NA,temperature,SUGG
2021-01-03,5,0.55,NA,temperature,SUGG
2021-01-03,5,0.8,NA,temperature,SUGG
2021-01-03,5,1.05,NA,temperature,SUGG
2021-01-03,5,0.05,NA,temperature,SUGG
2021-01-03,5,0.3,NA,temperature,SUGG
2021-01-03,5,0.55,NA,temperature,SUGG
2021-01-03,5,0.8,NA,temperature,SUGG
2021-01-03,5,1.05,NA,temperature,SUGG
2021-01-03,6,0.05,NA,temperature,SUGG
2021-01-03,6,0.3,NA,temperature,SUGG
2021-01-03,6,0.55,NA,temperature,SUGG
2021-01-03,6,0.8,NA,temperature,SUGG
2021-01-03,6,1.05,NA,temperature,SUGG
2021-01-03,6,0.05,NA,temperature,SUGG
2021-01-03,6,0.3,NA,temperature,SUGG
2021-01-03,6,0.55,NA,temperature,SUGG
2021-01-03,6,0.8,NA,temperature,SUGG
2021-01-03,6,1.05,NA,temperature,SUGG
2021-01-03,7,0.05,NA,temperature,SUGG
2021-01-03,7,0.3,NA,temperature,SUGG
2021-01-03,7,0.55,NA,temperature,SUGG
2021-01-03,7,0.8,NA,temperature,SUGG
2021-01-03,7,1.05,NA,temperature,SUGG
2021-01-03,7,0.05,NA,temperature,SUGG
2021-01-03,7,0.3,NA,temperature,SUGG
2021-01-03,7,0.55,NA,temperature,SUGG
2021-01-03,7,0.8,NA,temperature,SUGG
2021-01-03,7,1.05,NA,temperature,SUGG
2021-01-03,8,0.05,NA,temperature,SUGG
2021-01-03,8,0.3,NA,temperature,SUGG
